	sender	me
855	ok topdog	ti na pw dn kserw
859	nope	dn tha mpeite allo ?
866	hahaha matador ismail hackare h paiktaras ? tha ta akousw se hahaha to exw kanei kai egw wraios	tlk klain main htan
874	hahaha	https www .youtube .com watch ?v ob ppg qsi ab channel techhow
876	ton pousth to hackare	ta videakia me k views kanoun douleia
878	gamhseta mexri may eimai duskola kai meta kalokairo poios paizei cs	egw pempth tha gyrisw spiti gia evdomades
882	hahahahha ta kaka tou na exeis pc kai oxi laptop etsi poustopaido apotoxinwsh	pragmatika apotoksinwsh
886	tha guriseis kai den tha petuxaineis elephanta	ahahaha
893	ti les kako mlk prepei na trwne insta kick alla kaneis den to kanei	dn to ekruve katholou o pousths
898	gt theloum free win faceit kariera oloi oi pro ekei paizoun mono exei kai weekly tournaments kai epathla oxi pws tha kerdisoume pote tpt alla exei fash	otan ftasoume mg mg 
907	mmm	kappa
911	tha erthei re tou pousth tha gurisri me hacks	gyrise
915	i told you	vsk dn htan vs 
918	hahaha ti les re wraios eisai game ?	oxi
922	pame ?	nai
927	hahahah ok ante mpes you missed a call from matthaios .	you called matthaios .
933	oute kan re den mporw tiltarw	k egw karkiniasa
946	xaxaxa afou mporw hahahaa gt oxi	 xronwn r mlk
950	hahahaa se meres alla pou kolaei auto to tryhard einai teyhard kai egw gamhsei kai to mmr mou pou paizw duo me gianno kai pali tous gamame	a kala
956	ti re flwre cs	you called matthaios .
960	pame kana game ?	pio arga kanw ergasia me ta paidia
963	mpes duo me gianno na anebete matthaios called you . thes na mpoume discord na kanw share ma deis to knife ? hahahaha	opa re
970	mpes discord kai molis teleiwsei pame	posa koutia anoigeis me dekara
973	 sigoura	aa nai . exei
979	bazw se tha se parw discord e matthaios called you . euxaristw polu re broko kai esu oti epithumeis me ugeia ! ! !	tha deixei aurio h ygeia
991	pwwwww hahahahaha elouses gurna pisw re mlk kala hsoun	isxyei
996	na pame ligo mg	elouse pou gyrisa
998	poso sou exei leipsei pes hahahahaha poso stazeis ta bradia	ahahhaha
1003	blepeis videakia alla den einai arketo hahaha	plaka plaka mexri na gyrisw dn tha to skeftomai kan
1009	 kappa joke of the day htan auto to awp se perimenei	kserw gw gurnaw patra me paysafe
1017	den xerw alla siga thn diafora pantws mia xara ta eida matthaios called you .	eisai mesa ?
1021	mai mpes exeis paixei katholou ?	oxi
1025	pame dust ? h kana zestama ?	twra ekatsa sto pc
1027	wxxxx	se ligo mmpainw
1030	hahahaha ok se poso tha mpeis mhpws mpoume ena fast emeis	twra r
1037	ok	kanei update
1039	ok	mpes
1041	esu moes re mlk anebeneis kerdizoume k ena k twra xanoume k pefteis gt ?	duo xasame
1046	oxi re mlk ennow oxi seri	hmounkai polu kakos sto ena
1050	les na paizei rolo ?	nai r
1052	kako anyway xwris giannh tha paizoume me paiktakia sto elo mas tha tous gamame kai etoimasou gia kariera faceit xwris hackers	les e ?
1056	nai na mathoume oles tis pistes na beltiwthoume k meta mm kariera mg tha mpeis ?	pio arga upotithetai diavazw twra
1063	oxi mpeka gia ligo nuke wingman kai meta dust h faceit	mpainw
1069	pickares mid se noobas pali o allos last round eides ti smoke erixe sthn bomba ?	to eida
1073	re mlk ena pragma eipame kai pas kai trollareis last round	dn peirazei
1075	ante gamhsou pou den peirazei skoupidi	ahahahahha
1078	brhkeeeee kardiakous mas ekanes	tha mpoume ?
1081	mpes bro den xerw an eides ping mas kolise last round des to play sou ma deis ti noumpas fainesai den eixes katalabei oti htan me to smoke ? to smoke thelei deutera gia na fugei opote skepsou eixes plus deutera akoma gia bomba to defuse opote apo thn wra pou feugei to smoke exeis deutera na ton fas ti skeftosoun pame wingman ?	exw ligh douleia
1094	paw gia lol me gianno am einai pame argotera	ok
1096	matthaios called you . ti elo einai oi filoi sou prepei na einai polloi kakoi tous kane spectate kai kanoun oti nane you missed a call from matthaios .	ela mphka warzone
1103	oxi bghka kalo play alla gia na pickaroun san blakes anti na paixoun time theloun report tha me eixan tiltsrei apeira	ahahhaha isxuei
1108	to kill polu kalo full duskolo alla poso kakos o allos pou den se efage poustraki	auto esteila
1115	hahaha ok	ti wra
1117	haha paizei ma mhn mpw shmera dustuxws	solo inferno
1120	apo matkaps kai ntiri mazi kalutera solo inferno	mlk
1123	nai t side gurnane aneta match to exw kanei kai egw wraios re boy kai liga deaths polu kalooo	me anevase k 
1127	etoimasou aurio pame mg	o spuros einai polu kalos r apla oloi theloun na ton kanoun mute apo to o round 
1129	e pame zestama prwta kai meta game teleiwnw kati kai mpainw se 	ahahahha mlk hmoun sigouros
1134	haha	oti tha mou steileis
1136	eisai game	sto telos leavare
1141	ti les hahaha	luckyshots
1144	pame game	foul
1146	me poroses	htan san na exw wh
1150	tha mpw next me spuro mpes allo ena	komple
1155	blepw survivor hahaha	 . . .
1157	gt eisia akoma se toso arxh arghses na mpeis ? to blepeis to game ?	katevazw to map
1161	se akribws teleiwnei ok diko mas game gtx sou me tiltares meta apo auto mhn se xanadw na kaneis defuse exeis faei headshot	koita
1176	mas tiltares ekei xekinhse to downfall	esu tous evrizes se kathe round r mlk
1181	hahahahaha	ena omg hpan kserw gw
1185	kala emena tha me eixan sigoura mute	kai dn exw kai tupseis gia to round kill edwsa
1191	kala anyway apla pote xana inferno gt eisia kai noumpas	ti noumpas r mlk sto prwto kouvalithikes
1194	den ginete na paizw kalutera apo esena sto map pou eisia kai kaulwnenos na paixeis hahahaha hsoun hmoun tos	 s
1201	e kala egw positive kda kai perisoters mvp se gamhsa plus htan kai easy game sta duskola se thelw oxi sta eukola	ti easy game r mlk
1208	eixame kalo team re mlk	proseuxh kaname kathe round
1211	oloi htan kaloi auta ta games einai hahahahaahha	alla oxi oti htan izi
1214	auto isxuei alla xaname dika mas round wriaka otan kerdiseis kai exeis petaxei kai rounds tha mporouse kalista na htan px	tespa polu overthiniking to kaname mh kaigesai
1221	mg suntoma to exoume brei poia	an kopsoume th dust
1224	hahaha mlk dust den xanoume	mlk dn thelw na zw to sunaisthima
1227	exw na xasw dust apo proxthes	oloi kai oi 
1232	phgaine b skoupidi	dn katalaves ti eipa
1234	pare to ssg kai paixe apo makria an tous kaneis tag einai easy kills gia tous allous meta	shmera posa xasame ?
1241	egw ena inferno	 ?
1243	kai mia isopalia den exasa dust game exw xasei to twra	ontws ?
1253	 na paroume aurio seri	to kalo einai
1257	ms nai auto skeftomoun kai egw den peftoumai poia to exoume brei polu kala oloi	o tesla mg phge
1263	mpes gia zestama kai pame kana gameaki	to vrady r exw mathima stis 
1267	ela otan teleiwseis steile hahaha twra ta eida ta mnm an mpoume me hackers ma pathogen kati kako	e
1274	ok pata start mono dust mou xalase o upnos re mlk alla eutuxws den epesa re mlk den thumase te pousth pou bazeis tis bombed	dn einai mono pou vazeis to bom
1285	true	varesa mia akrivws panw ap th vomva
1290	haha paize inferno mlk egw den mporw na paizw polu auto to di asthma k exw tiltarei	tha mpeis twra h na paiksw ena solo
1294	tha mpw gt blepw tainia exw lousei pes tou na perimeneis ligo	ellhnas einai
1300	oxi	tha mpeite k allo ?
1303	kappa den xanapaizw auto to game	akoma dn m exei anevasei
1306	 ? den xereis poso kako mas ekanan ta games me giannh k ntiri pame game ?	nai
1311	katse kai egw kanw ena restart pame kai ena wingman inferno h overpass zestama na dw ama mou kolaei	sou vgazei
1318	nai re mlk kai esena ?	rip
1322	nomiza ftaiw egw fack bahahahahahhahaha exoun pesei servers ? pame lol hahaha	tekan lol
1331	haha ok	kai ligoteto
1334	eftiaxe kappa apla efuge to connecting sv full alltalk mp timelimit an ftiaxei pes mou	efyga ap to spiti
1340	eftiaxe pantws	akous
1343	ela	exeis link gia boston knicks
1345	nbastreams .xyz gia des edw	dn anoige
1349	an den pianei auto meta apo stoixhmatikes ta blepw egw den pianei auto ?	pianei
1352	pame mia prwinh dust ?	vrady vrady
1355	mpainw	mpainw windows miso
1357	tiltara den tha mpw allo prwton epeidh paizw kaka kai deutero epeidh xasame tetoio game . . . efeuge o mpastardos sunexeia ela	mlk
1363	ela	dn me exei anebasei akoma einai apisteuto
1365	steile mou mia auta pou sou esteila sto chat edw kamia mia copy paste kai ftiaxe ena account na mpoume me gianno h mpes me kanoniko poutsa sou steile mia	csgo et js ykutb qvgh zuwzt aounc
1374	ela pame chill apo alla accounts alles pistes kati exei ginei me to cs den amagnwrizei ta wins kai ta games mpesa emena thumithike na me anebasei poio meta ante mpes na gelasoume ligo	dn mporw allo r alhtheia me exei ponesei to kefali
1384	e mhn eisai flwros mpainei giannos pame polu chill tha paizoume deagle kai malakies	r alhtheia dn mporw na paiksw
1391	e kourases 	tha paiksoume ? ?
1394	eimai duskola apo shmera bro den prolabainw isws argotera ela akous tha mpeis cs ?	tha paixw ena dyo me ta paidia ap to xwrio
1399	re tha sou dwsw allo account pame me gianno na gelasoume ligo mia sto toso mpainei	tha mpw pio meta
1405	eisai sad gt mpaineis me autous tous noobs ela me emas tous noobs ama xaseis tetoio game e mphkate	isxuei
1411	pame mia ada	mphkame
1413	ok teleiwneis ? noobbbbb	pame r mlk na paiksoume kana kalo game
1418	e me petaxe gold teleiwses ? eeee pame ? you missed a call from matthaios . tha mpoume kana cs re pousth	nai r
1426	ok wraios	 . . .
1429	haha hahahahahahahga gt te komplexike bro to exw barethei to game apla thelw na pernaw kala pame na gelasoume ligo	r mlk otan paizw cs thelw na mpoume na paiksoume na vgaloume ena wraio game
1438	tha ginei kai auto re mlk	gamw ton gianno
1441	 	delusional
1443	haha mpeka	trww mia kai mpainw
1446	ok mpes ante	anoigw
1451	ok exeis filo ton ntiri ?	oxi
1456	twra w perimenw ntiri e trollareis	o ntiri ?
1461	bghke molis ti na peis gi auto to paidi	mpoume kana discord ?
1464	gt ti exei to game ? 	 . .
1466	sou milaei giannos egw den exw thema mpainw alla gt ? re file gt mou to ekanes auto kai me afhses mono mou	mlk alhtheia dn me exei ksanatiltarei etsi
1471	hahahahahahhaa einai oti xeirotero 	e mpeite
1475	ok bro me ntiri tha rixame xasei auto ti game mia xara epaiza o giannos exei wres sto paixnidi apo cancer pc mhn exeis tromera expectations apo auton	matthaios missed your call .
1482	nai ela ee mpeikate ? pame egw esu giannhs game ?	ti wra
1487	peite mou eseis esteila kai se giannh	se kamia wra
1490	okkkk kai spuros tha mpeis ?	mphkate ?
1494	oxi tha mpei kai spuros se ligo pame kana vs 	exw douleia . . .otan einai na paiksoume kanoniko game pes me na mpw
1498	okkk r xereis ?	oxi dn exoume kanei
1501	ok tha mpeis ? e fast lege	nai
1509	haha ti blepoun ta matia mou egw paizw faceit poia prepei na arxiseis blepeis k pragmata apo kinhto gamaei to exw paei pontous kai anebaineis siga siga me levels kai tetoia steile mou mia to thl tou ntiri na ton trollarw 	ahahhah
1518	steile tou esu na doume an tha sou apanthsei	prin ligo milousame
1522	hahahah	eiste mesa ?
1524	oxi tha tous mazepsw siga siga	paw na kanw ena mpanio k mpainw
1527	okkk ftiaxe faceit	exw face it
1530	teleia tha mpoume faceit mpes se ekana add tha mpei magaiver kai o tiger o gkomenos mou mpes gt tha fas pistoli ante eeereeeeee you missed a call from matthaios . e kourases	elaaa
1540	mpes fast prwta faceit kai faceit ac	ok
1547	mpes ena faceit re noumpa se perimenoume fast omws bam bam ante kane me accept kai sou stelnw tha sprwxw gia overpass	exw mpei
1555	ok gay koimhsou kounhsou tha se petaxei	pas program files
1566	pena thanks kala na perasete re pame cs ?	aurio to vrady tha ksanampw
1570	okkk	matthaios missed your call .
1574	den mporoume na mpoume xenerwsa me to game olo hackers epishs giannhs einai unranked den mporei na paixei mazi mou	e
1580	molis bghka	ti kaneis
1585	blepw agwna otan teleiwseis mila	mpes
1588	mpainwwwww to brhka asto	tha paiksoume ?
1593	psk exw alles meres mesa ftiaxe programma	e steile
1597	ok ela na ftiaxeis esu exoume ftasei lept s	steile pali
1603	bale oles tis pistes kourase bges kai xanampes brhkne	kala pou me eipes dn koitousa
1609	pwww tha se ebriza mia zwh an kai htan inferno kai xenerwsa	ante pame fast
1613	katse mpainw fast	paw na diavasw
1617	ela re flwre pame ena siga	mlk grafw se duo meres duo mathimata
1625	nai alla bradu	kala den ton eipa ?
1629	pws ton dikases etsi kapso ntiri epaize kala ena game kai tha mas to kopanaei gia mhna twra otan einai mila eimai away you missed a call from matthaios .	pame ?
1635	nai arxizw	last round paizw
1639	ok nai kanw spectate	sad
1644	haha cs ?	eimai eksw
1647	okkk matthaios called you . brhke pame cs ?	exw poly diabasma
1652	ela afou ena game to thes mia mirage hahahha	exei malakizomai poly wra dn ginete allo
1657	okk	an dn mpoume lol
1659	ela flwre polu diabases pame ena game	mlk
1665	elouses pame cs ?	exw diavasma
1670	ama mazeutoume nai pame ena lol ? bghka te ?	twra paw spiti
1675	mazepse tous re mlk na mpoume perimene ligo na mpei kai giannhs	ante r mlk
1681	elousa pame cs e mpainw	nai
1687	re gamhmene mpaineis cs kai den stelneis	ahhahaha
1692	molis mphka lol 	to vrady flex
1694	okkk psise giannh ma tous allous kai pame kai cs pame ena duo prin mpoune oi alloi ?	dn eimai spiti akoma
1700	eisai flwros pou eisai re flwre pame cs bed bes ante pame mwrh kana cs ?	exw diabasma
1709	noob nvidia geforce gtx super auth axizei pisteueis ?	posa lefta
1713	gia enan filo mou pou ftiaxnei pc den xerw lene exoun anebei genika oi kartes grafikwn	auto einai koro dia
1718	polu kako hahahahaha aspoume ps leei hahahaha	e nai
1726	 	rx xt
1730	bro esu se thessaloniki eisai konta ?	dipla
1732	aurio tha eimai ekei tha kanoume stash gt tha paw kavala ston bro mou	wraia tha pioume kafe
1734	tha peraseis gia kana kafe re kolopaido wraia se thelw etoimo aurio	ti wra
1737	 . peripou tha eimai ekei tha kanoume stash kai theloun na pane kai ikea isws kai kai analoga fere squad na pioume kafe na mou mathete ta meroi kai shmera lol tha ta poume shemra	eukaria leei
1745	hahahah me ti wra ti wra tha teleiwseis isws arghsoume kiolas emeis	e kamia wra krataei
1754	ti les teleia	dn tha pame paralia pantws
1758	klaiw rantebou omws paralia na thn dw ligo 	na vgeis fwto ston leuko
1763	hahaha ti akouw	a wraia
1765	loipon noubako peripou tha eimai ekei tha sou steilw esu pws kai eisai toso konta re mlk panta ekei emenes ?	nai r mlk h xalastra dipla einai
1771	kane mou mia xarh kai ela san anthrwpos plz	nai r
1773	prwtimo na perimenw ligo 	kappa
1776	wste odhgas poustraki elpizw to amazi ma einai poio akribo apo pc 	ahahhahah nai r
1780	flex	oxi rr
1783	skas kai me airpods sto auth mwrh	 
1786	hahahaha wraios	pou eiste
1789	exoume akoma molis perasame to steno pou stibeis gia agia larishs stis upologizw na ftasoume	okay
1795	ama exeis power bank fere an kai exw fortisth mazi mou isws to dwsw se kanw magazi	ok
1798	koubalises yes etoimasou na fereis benzinh eimaste duskola pou exei benzinadiko all good	pou eiste
1804	steile to thl sou mia pou na sou pw twra	 
1810	molis ta pername	wraia
1812	okkk	konta sto leuko
1817	ok tha se parw thl se ligo gt exw hahahah ti les teleia	ni
1827	okkk	ton vrhkate eukola ton dromo ?
1829	paneukola broko euxaristoume se evale shmera sto akuro ?	exei liges ebdomades
1833	tha kanw to kone otan ertheis panw hahaha pame ena cs ?	katharizw to spiti dn mporw
1837	ti akouw re mlk mia mpougatsa eprepe na eixa parei	isxyei
1840	lousame	kai perasame ap exw
1842	ena pragma exete 	ap th kalyterh ths polhs
1844	mhn me gamas twra	se ekeinh th kafeteria pou se rip oti pane fasaioi
1847	noob pote tha sou ftiaxw revolut ?	to brady
1849	join me and over million users who love this digital banking app . sign up with my link below and check out their disposable virtual cards for safe shopping https revolut .com referral matthamfnx !sep ntr auto gia meta	to kanw twra
1853	para to link logika tha se bgalei kapou kati tha leei oti se ekana egw invite bale to kinhto sou	mh koitas pou leei declined plhrwsa en telh
1858	wraia twra exeis balei lefta ? mesa	oxi
1863	nai thelei agores apo euro h kathemia molis to oloklhrwseis alla kanonika tha eprepe na ginoun prassina kai ta alla isws ginoun poio meta	vazw twra lefta mia
1868	thelei na xalaseis dld fores apo euro kai exeis meres btw ola ta alla ta exeis kanei ?	nai
1871	ok apla tha ta balei prassina poio meta	tha parageilw apopse aurio kai methaurio faghto
1873	ok komple auto nai	prepei na egine
1877	yes egine	bsk mporei epeidh sth fsto sth tautothta kai sth fwto pou esteila dn emoiaza katholou
1884	nomizw nai sou zhthse etsi ?	nai
1887	ok all good bres mou filo sou na tou to kanw kai pare esu ta mhn tou to peis pes tou empistepsoume hahahaha	oxi r tha valw k alla
1893	ok broko tha ta poume kai to bradaki sto lol 	e nai
1896	eimai klhsh tha to akousw se ligaki den se afhse ma plhrwseis den katalaba ?	oxi r me afhse
1901	a ok ara ola kala dld tha to dw se ligaki gt argei na mou allaxei emena alla tha to metrhse sigoura	bsk klain tha to metrhsei sigoura
1904	polla xalases pantws twra exeis apo gia tis alles h tha xanabaleis	tha xanabalw r
1908	ok komple o xontrompalas o giannos barietai na to kanei hahahah den thelei free euro	dn ton kovei
1912	barietai pou zei	mlk ton pairnw thl binteoklhseis
1917	bro auto to kanei xronia twra gia emena einai fusiologiko den mou eipes kati to exw sunhthhsei einai blakas aston	tha ton strwsw otan erthei
1924	bro ftiaxtwm ligo plz exei xalasei apeira se pianei mia adeia mpesa pame kana cs ?	exw diavasma
1929	kala apantas monos sou kai egw auto tha ekana	epeidh hksera oti tha to valeis lew as to valw monos mou
1933	haha true alla tha ebaza allo shmera na sou pw	ela
1937	mexri na kaneis tautopoihsh den mporouses na baleis lefta ?	ta trabouse h peiraws
1942	ok komple gt to kanw se allon twra kai exei agxwthei arghse genika ?	kana misawro
1949	a komple egine kiolas eutuxws poia apo tis prostheses sto e good efood	th kanonikh
1955	thn virtual h thn allh thn kanonikh e kati teleutaio pou akribws phges gia na dwseis to ok gia auto	patas pin and security
1962	a nai re mlk swsta ty eisai megalos mou hrthan bro	cool
1970	oti thes ela na sta steilw revolut na deis pws einai na ta trabhxeis se peirews tsampa tha einai ola	a
1976	loipon bradaki pou tha eimai spiti kai tha paizoume kana lol h prin mpoume tha to kanw tha se parw thl na sou pw ti stoixeia xreiazomai h tha sou steilw	egine
1981	hahahahq ti les ti paidaki einai auto re bro den exw katalabei an einai ontws blakas h an to paizeis alhtheia eiste akoma mesa ? hahahahahhaha eklapsa silver ada 	matthaios missed your video chat .
1989	ela	katalathos prepei na se phra
1991	ela noob steile	ela
1994	to thl sou mia	 
1996	paizei mono kai mono apo tis epafes na mporw na sta steilw lege sou hrthan ? mila agxwthika den to exw xanakanei etsi	oxi
2001	ontws ? les na arghsoun katse les na to kanw cancel ? ebala ton arithmo sou tou pousth	tha ginei r
2006	nai mwre otan sou erthoun pes mou	nai
2009	okkk bro akuro to iban sou xekinaei gr h lt ?	apo thn peiraiws 
2017	bro lousame me iban phgan sthn xaderfh mou se deuyeroleota esena sou exoun mpeis ? wp to hackara to akurwsa kai mou hrthan pisw steile iban na sou ta steilw	iban peiraiws ?
2022	steile iban tha ginei se second ths revolut xupna xereis pou to leei h na sou deixw ?	auto edw logika
2027	yes sir kantw copy	lt 
2030	na to kanw paste wraios	apo ios 
2035	ti les re pws ?	prepei na einai apothhkeumenh omws s
2038	done pes mou otan sou erthoun	hrthan
2041	teleia !	ta pio eukola eurw ths zwhs mou
2044	hahaha gamhseta kai gamaei h kartoula no fees mlk me exei swsei	dn sumferei omws
2049	den sunferei katholou dusruxws gt onfilos sou tha kanei auta pou ekanes kai esu se ligous mhnes tha bgalei kalutera gia esena nai re apla tha mporouse na balei sto pos kai eixe balei hdh ginete kanonika to exw kanei kai egw sth douleia mou alla bariountai pame kana cs ?	eimai eksw
2058	pes tpt gia othonh eida exei crosshair pes tpt useful	ama kaneis auto
2063	e koubalhses den to eixa kanei auto to eixa sto 	e gia ta tha thes gpu
2068	nai e siga kai auta kala einai	nai r
2075	apisteuth poiotita	aurio cs
2078	wraios gamaei yes sirrrr hahahah kourase lol kai osoi pezoume	e nai
2084	mazi me teammates	o jason dn pisteuw na pshthei
2086	oxi den katalabes diabase xana ti eipa hahah	aaa
2092	nai bro twra xekinaei to kalo an kai to kourase meta ftiaxneis egw skepsou ta eida kai mou exoun meinei ta teleutaia 	r mlk
2098	hahah to eida meta ti wra cs	vrady
2102	ante xontroulh anebaine 	prospathw
2104	pame	thelw na kanw mpanio na faw
0	the video chat ended . antonii steile ena iiit thelw na to akogsw mouleipsee pswnaraaaaaaaaa wraia wraia mrabo	steile efood 
11	miso pwe stelnw efood 	asto
21	you missed a call from zoe .	you called zoe .
25	 	ok
27	ooooo klooo e exo ekpompi sto radiofwno stis https thessradio .net 	the video chat ended .
35	https drive .google .com file d syugpzv qjwyikwu s lqlac l rczn view ?usp drivesdk	ela ti htheles
41	ela sory de mporw na milhsw twra tha se parw gw	xoe
48	ela man m tou gt h tou katse h euaggelia einai tou kai h xristina tou nai	to pasxa tha mou dwseis to podhlato na paw sto vouno
54	kala tha sto dwsw re bounisie giati me rwthses gia th xristina	des sto zisis family
57	des ti brhka sto skroutz ! https www .skroutz .gr s samsung evo plus ssd gb m nvme mz v s bw .html ?utm source android utm campaign skroutz share	zoe
61	xmmmmmm okkk thank you sefxaristo aderfouliiiiiiiiiiiiiiiii	https www .skroutz .gr s samsung evo ssd gb mz e b eu .html
66	 ? okkk kl ine k meta pos tha t peraso ?	monh sou dyskola
72	okkkk u m to peraseiw esyyy moy xrvstas eyrooo kleftiii	nai r blhma se esteila
76	moysteilew ?	na mou dwseis to . iban
79	aaa kl tha stilo	zoe
83	wx se phre kai sena	kai me pairnei twra thl kai klaigetai
85	de paizei	gamw to xristo sou
88	pote gyrnas ?	kane auto pou se eipa
91	epishs mh thn apantas de xriazete . de mporei na klaigete gia panta kapoia stigmh prepei kai na ferthei san enhlikas kala kala	nai to kserw
96	nai den tha to shkwsw syntoma oxi	skoupidi
99	kai oxi oute spiti plhrwnei oute me taizei auta sto myalo ths	nai telos pantwn opws k na xei
106	h thwmh tous ephreazei olous wraia mh thn apantas de tha me ekbiasei pali psyxologika epeidh ekbiazei esas moupe na fygw apto spiti efyga mh ths xanashkwseis to thl an de thes	pou eisai
113	sto gkomeno pes thn se mia filh oti thes de m noiazei	telos pantwn se uperaspitika sto thema me ta piata gt kserw ti kanei h euaggelia
122	den thn espasa epithdes . apla thn ekleisa me dynamh kai espase .mou efere h allh ta piata sto dwmatio kai egw eprepe na mai tsil . loipon h euaggelia xekinhse na douleuei kai thn exei xasei thn mpala . gyrnaei sto spiti kai kathe mera mou fwnazei gia kana tetarto .pou egw eimai mono sto dwmatio mou etsi .kai mpainei mesa sto dwmatio mou gia na mou fwnaxei . e kapoia stigmh tha eskage auto .kai h thwmh apofasise na ta balei me mena epeidh h thn phre h euaggelia klaigontas . loipon egw den zhtaw kati apo th thwmh twra thelw apla thn hsyxia mou giati exw apeirh douleia letzit mpas kai teleiwsw me ta mathhmata .den douleuei mono h euaggelia h h thwmh . kai thelw kiegw thn hsyxia mou . alla nai kyriws den apantaw sto thl giati h mama einai aparadekth sth diaxeirish krisewn kai giati anti na katsei na skeftei pws tha lysei ena problhma gkriniazei sa xrono xrhsimopoiei psyxologikous ekbiasmous tou styl exw kialla paidia de tha me pethaneis esy shkwse to thl de tha me pethaneis esy kai tetoia aparadekta kai ta kanei mono xeirotera . kai thn epomenh fora pou tha mpei h euaggelia sto dwmatio m gia na m kanei khrygma h tha tis spasw ta pragmata h tha th xtyphsw me exei ferei sta oria mou .kai tha ftaiei h mama telos pantwn kai esy de xrwstas kati twra na se prhzoun oloi .alla tha ths milhsw se liges meres . pros to paron de to shkwnw giati tha arxisei to paralhrhma kai esy pou me exeis kanei kommatia kai exw kai alla paidia kai ti paidi eisai esy kai tetoia .kai to xei kanei apeires fores to idio .kapoia stigmh prepei na katalabei oti den mporei na ferete etsi . epishs egw zw mono sto dwmatio ara katharizw mono to dwmatio mou .to mpanio kai thn kouzina ta kanei h mama gia kapoio logo .ama hthele bohtheia h euaggelia na mou to lega .de mou eipan pote tipota . telos pantwn malakies einai auta h ousia einai oti xespane panw mou kai ftaiw egw gia ola .e ntaxei ligo kapou ainte http stellarium .org des auto to logismiko einai olos o ouranos opoia wra kai mera thes opou thes gmaaei	kai sou leei auta pou koitas poia asteria einai ?
133	nai ola ta pantaaa pws tha to paixeis istoriaaaa alla den einai app einai bary yparxei allh efarmogh gia to kinhto pou th bazeis ston ourano kai sou leei poio asteri koitas google sky	 mwro mou ta vlepeis ta asteria ? nai mwro mou tha mou pareis mia 
140	xaxaxaxaxaxaxxaxaxax ixixiizizizzizzzi aaa yparxei kai gia kinhto to stellarium akyro	zoe
145	ante pali . . . . .	parthn ena thl
158	nai	e
161	nai exw kai ta ypoloipa prostateutika dwse xairetismata sta paidia xexasa na se pww	nai
166	pst tha kateveis hal ? e tha katevis kentro ? kale	ela
172	ti ora	kata tis tha ferw th xristina apo to spiti
175	ti ora tha tin paris piso ? antwnh kalhmeraa pote tha ertheis kentroo	e dn xerw
181	parhggeile ton shmera na erthei paraskeuh pliiiz tha sta dwsw oti xarh thes gyrw sta mh xefygei poly to mpatzet pliiz	gioufte
191	se poses meres	clickaway
196	kalos einai ?	apo th palaiwn patrwn
199	ok na paw egw h tha katebeis ?	tha sou balw ta lefta
209	kala kala	you called zoe .
211	zoe called you .	h antikatabolh kostizei eurw
214	okkk thenkiouyy	zoe missed your call .
219	kk antonii me exoun afhsei sto portaki	ti
223	katw sthn eisodo ta akoustika pane parta ligo plz	dn eimai spiti
227	kala otan pas komple	bale ta lefta a
229	okk sta ebala	cool
233	koimomoun tha m kaneis to pisi ?	ferto sto xwrio na to kanw
240	okkkkkk thnks mh xexaseis na pareis to pisi mououoou	 ? ? ?
245	you missed a call from zoe . tha ertheis na pareis thn euggelia or sy ?	oxi
249	ennow tha gyrisei xal ?	tha katebw katw
251	xereis ?	tha paw gia tainia
253	pou	tha gyrisw nai
256	se poio	 einai h tainia
262	okok giati den apantaaas	exw douleia
264	ts	kleinw
266	loipon	you called zoe .
272	kala nai sory .einai treles kai oi dyo na ths pei na paei gia ypno kai na dwsei to drama afhsei	sks
279	xaxaxaxax oxi astooo ftiaxe m to laptop pliiiiiz	zwh
286	ts	epeidh dn prolabaina
289	klaaaaaaaaaa pote teleiwns	 
292	okkk kalh epityxiaaaaaaaaa paizei n ertheis ?	nai tha rthw
297	ti wra	 
299	k	na eisai kentro
301	th me gyriseis xal	arga tha gyrisw
304	ti wra th gyriseis ok tha me feroune opote tsil	teleia
311	to ekleises to pisiii ?	nai
313	steile to laptop sou me th mama pliz h kane kainourio xrhsth h kane logk aout h format	gt tha erthei 
316	gia na mporw na to xrhsimopoihsw tha erthei kapoia stigmh na parei thn euaggelia opote egw den mporw na erthw	shmera 
320	logika tha erthei aurio	egine ok
322	euxaristw	dn tha kanw tpt
327	okeu apla prepei na m dwseis kwdioo	zoe
330	 meshmeri	eisai sigourh ?
332	naii gt theleis na bgaleis astrologiko xarth ? to leei sto bibliario	e zwh
339	pst akous ti wra tha rtheis ?	 tha eimai kentro
345	you missed a call from zoe . xronia pollaaaaaaaaaaaaaa polyxronos me polla taxidia kai kotera elikoptera	ok
350	 	pes to microsoft account sou
352	zoe .parlapani gmail .com	kai ton kwdiko
362	you missed a call from zoe . na xes einai dw karaiska giwta stella h filh ths egw kai h katerina kmn se proeidopoiw mh frikareis alla ela	r dn prokeite
380	 agaphtes cern ch tech studentships gia opoia endiaferetai . dd oct cern .ch tech	endiaferon
388	des t des to pst tha rtheis ?	twra ?
393	 . . . .	dn exeis allo tropo e 
395	den exei lewfpreio	ntaksei erxomai
398	diabazeis ? tinai de fortwnei	se xekinaw
402	aaaaaa wraia klaxon	bges
